"Date","Time","Price"
"21 Dec 2015","17 :14 :00","25205"
"22 Dec 2015","17 :06 :00","25265"
"23 Dec 2015","17 :11 :00","25126"
"28 Dec 2015","17 :11 :00","25104"
"29 Dec 2015","17 :11 :00","25146"
"30 Dec 2015","17 :11 :00","25106"
"31 Dec 2015","17 :10 :00","24967"
"04 Jan 2016","17 :12 :00","25244"
"05 Jan 2016","17 :10 :00","25356"
"06 Jan 2016","17 :08 :00","25566"
"07 Jan 2016","17 :13 :00","25912"
"08 Jan 2016","17 :14 :00","25857"
"11 Jan 2016","17 :15 :00","25963"
"12 Jan 2016","17 :12 :00","25721"
"13 Jan 2016","17 :20 :00","25543"
"14 Jan 2016","17 :19 :00","25857"
"15 Jan 2016","17 :15 :00","25737"
"18 Jan 2016","17 :10 :00","26016"
"19 Jan 2016","17 :10 :00","25953"
"20 Jan 2016","17 :10 :00","26244"
"21 Jan 2016","17 :08 :00","26344"
"22 Jan 2016","17 :07 :00","26247"
"25 Jan 2016","17 :12 :00","26340"
"27 Jan 2016","17 :18 :00","26666"
"28 Jan 2016","17 :14 :00","26747"
"29 Jan 2016","17 :14 :00","26566"
"01 Feb 2016","17 :11 :00","26694"
"02 Feb 2016","17 :11 :00","26779"
"03 Feb 2016","17 :12 :00","27001"
"04 Feb 2016","17 :13 :00","27236"
"05 Feb 2016","17 :27 :00","27500"
"08 Feb 2016","17 :10 :00","27697"
"09 Feb 2016","17 :11 :00","28151"
"10 Feb 2016","17 :12 :00","27881"
"11 Feb 2016","17 :09 :00","28758"
"12 Feb 2016","17 :12 :00","29215"
"15 Feb 2016","17 :16 :00","28379"
"16 Feb 2016","17 :14 :00","28648"
"17 Feb 2016","17 :10 :00","28580"
"18 Feb 2016","17 :12 :00","28521"
"19 Feb 2016","17 :14 :00","28899"
"22 Feb 2016","17 :10 :00","28607"
"23 Feb 2016","17 :11 :00","28904"
"24 Feb 2016","17 :16 :00","29260"
"25 Feb 2016","17 :14 :00","29251"
"26 Feb 2016","17 :07 :00","29297"
"29 Feb 2016","17 :20 :00","29152"
"01 Mar 2016","17 :09 :00","29216"
"02 Mar 2016","17 :06 :00","28866"
"03 Mar 2016","17 :08 :00","28958"
"04 Mar 2016","17 :10 :00","29523"
"08 Mar 2016","17 :09 :00","29592"
"09 Mar 2016","17 :15 :00","29210"
"10 Mar 2016","17 :11 :00","28974"
"11 Mar 2016","17 :12 :00","29256"
"14 Mar 2016","17 :11 :00","29059"
"15 Mar 2016","17 :14 :00","28710"
"16 Mar 2016","17 :14 :00","28734"
"17 Mar 2016","17 :18 :00","29338"
"18 Mar 2016","17 :12 :00","28899"
"21 Mar 2016","17 :16 :00","28719"
"22 Mar 2016","17 :09 :00","28734"
"23 Mar 2016","17 :17 :00","28539"
"28 Mar 2016","17 :13 :00","28154"
"29 Mar 2016","17 :11 :00","28208"
"30 Mar 2016","17 :05 :00","28566"
"31 Mar 2016","17 :11 :00","28610"
"01 Apr 2016","17 :13 :00","28469"
"04 Apr 2016","17 :11 :00","28180"
"05 Apr 2016","17 :09 :00","28508"
"06 Apr 2016","17 :17 :00","28405"
"07 Apr 2016","17 :15 :00","28671"
"08 Apr 2016","17 :09 :00","28630"
"11 Apr 2016","17 :11 :00","28898"
"12 Apr 2016","17 :12 :00","29129"
"13 Apr 2016","17 :14 :00","28827"
"18 Apr 2016","17 :06 :00","29026"
